time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-01T21:18:15.720Z,38.3646667,-122.6068333,7.42,3,ml,115,36,0.02356,0.11,nc,nc72373706,2016-08-02T00:37:55.663Z,"7km SW of Kenwood, California",earthquake,0.11,0.17,0.249,55,reviewed,nc,nc
2014-12-15T06:10:43.420Z,36.4281667,-120.4061667,11.58,3.41,mw,111,58,0.1564,0.12,nc,nc72364941,2016-03-11T09:51:24.883Z,"27km SW of San Joaquin, California",earthquake,0.13,0.37,,3,reviewed,nc,nc
2014-12-06T02:16:07.370Z,36.7941667,-121.5168333,6.43,3.92,mw,138,20,0.0453,0.13,nc,nc72360741,2016-03-11T02:37:23.376Z,"6km SSE of San Juan Bautista, California",earthquake,0.1,0.24,,5,reviewed,nc,nc
2014-12-04T19:28:37.750Z,37.1075,-121.8128333,4.15,3.19,mw,109,33,0.01743,0.13,nc,nc72360116,2016-03-12T06:23:02.867Z,"9km NNE of Day Valley, California",earthquake,0.11,0.2,,3,reviewed,nc,nc
2014-11-20T06:26:49.290Z,36.806,-121.5358333,6.23,4.23,mw,143,22,0.03667,0.15,nc,nc72350156,2016-03-11T08:02:19.367Z,"4km S of San Juan Bautista, California",earthquake,0.1,0.22,,6,reviewed,nc,nc
2014-11-20T06:21:27.650Z,36.8076667,-121.5303333,5.92,3.64,mw,76,24,0.04583,0.09,nc,nc72350151,2016-03-11T08:02:17.849Z,"4km S of San Juan Bautista, California",earthquake,0.12,0.26,,5,reviewed,nc,nc
2014-11-08T06:21:27.060Z,38.7868333,-122.7623333,2.46,3.21,ml,84,39,0.01393,0.05,nc,nc72337305,2015-03-20T00:35:15.673Z,"1km NNW of The Geysers, California",earthquake,0.09,0.16,0.156,54,reviewed,nc,nc
2014-10-29T04:36:35.310Z,38.8016667,-122.7683333,2.22,3.59,mw,91,20,0.00681,0.06,nc,nc72334886,2016-03-11T15:13:26.637Z,"2km NNW of The Geysers, California",earthquake,0.09,0.15,,4,reviewed,nc,nc
2014-09-28T20:45:13.260Z,36.6255,-120.8336667,7.64,4.43,mw,117,69,0.0498,0.12,nc,nc72316031,2016-03-11T17:04:11.601Z,"40km SSW of South Dos Palos, California",earthquake,0.16,0.33,,15,reviewed,nc,nc
2014-09-09T18:17:57.980Z,36.6813333,-121.3111667,6.21,3.58,mw,79,30,0.03386,0.09,nc,nc72295271,2016-03-12T00:42:53.965Z,"15km SSE of Ridgemark, California",earthquake,0.12,0.31,,4,reviewed,nc,nc
2014-09-01T16:10:37.400Z,36.979,-121.4642,5.6,3.4,Mw,149,28.8,0.04491576,0.12,nc,nc72289721,2016-03-12T04:26:32.085Z,"9km ESE of Gilroy, California",earthquake,0.1,0.3,,4,reviewed,nc,nc
2014-08-31T08:56:20.830Z,38.2358333,-122.3285,9.56,3.24,mw,294,22,0.02939,0.15,nc,nc72288561,2016-03-11T22:48:20.517Z,"7km SSW of Napa, California",earthquake,0.07,0.13,,3,reviewed,nc,nc
2014-08-29T23:32:05.700Z,36.687,-121.3193,6.2,3.4,Ml,77,28.8,0.02694946,0.07,nc,nc72287496,2016-03-12T00:42:11.532Z,"14km SSE of Ridgemark, California",earthquake,0.1,0.3,0.2,46,reviewed,nc,nc
2014-08-29T21:44:16.000Z,36.689,-121.3212,6.1,3,Md,69,25.2,0.02694946,0.05,nc,nc72287446,2016-03-11T04:21:12.750Z,"14km SSE of Ridgemark, California",earthquake,0.1,0.3,0.2,99,reviewed,nc,nc
2014-08-26T12:33:22.230Z,38.1661667,-122.2998333,10.44,3.73,ml,7,163,0.04861,0.05,nc,nc71095504,2015-07-27T22:34:43.529Z,"3km WSW of American Canyon, California",earthquake,1.69,0.81,0.119,13,reviewed,nc,nc
2014-08-26T12:33:16.840Z,38.1785,-122.3008333,12.62,3.9,mw,260,41,0.05933,0.15,nc,nc72284586,2015-07-27T23:01:02.931Z,"3km W of American Canyon, California",earthquake,0.11,0.16,,7,reviewed,nc,nc
2014-08-24T12:47:12.550Z,38.2383333,-122.3425,8.48,3.6,mw,279,21,0.02401,0.18,nc,nc72283201,2016-03-11T07:57:20.288Z,"8km SW of Napa, California",earthquake,0.09,0.19,,3,reviewed,nc,nc
2014-08-24T10:24:44.240Z,38.2598333,-122.3373333,10.49,3.51,ml,164,71,0.04522,0.12,nc,nc72282751,2015-05-18T22:16:21.333Z,"6km SW of Napa, California",earthquake,0.1,0.17,0.114,10,reviewed,nc,nc
2014-08-24T10:21:45.440Z,38.235,-122.3198333,9.09,3.81,ml,114,50,0.03456,0.17,nc,nc72282716,2015-02-18T02:56:05.237Z,"7km SSW of Napa, California",earthquake,0.18,0.32,0.056,4,reviewed,nc,nc
2014-08-24T10:21:10.840Z,38.7601667,-122.7256667,0.93,4.38,md,24,57,0.01465,0.13,nc,nc71086369,2014-11-22T01:23:56.511Z,"3km SE of The Geysers, California",earthquake,0.22,0.55,0.175,2,reviewed,nc,nc
